Date,Time,pH,Chlorine_Residual
10/1/2021,12:05:45,7.5,0.8
10/2/2021,12:05:45,7.6,0.8
10/3/2021,12:05:45,7.6,0.8
10/4/2021,12:05:45,7.7,0.8
10/5/2021,12:05:45,7.6,1
10/6/2021,12:05:45,7.5,0.8
10/7/2021,12:05:45,7.4,1
10/8/2021,12:05:45,7.3,1.2
10/9/2021,12:05:45,7.4,1.2
10/10/2021,12:05:45,7.5,1
10/11/2021,12:05:45,7.5,1
10/12/2021,12:05:45,7.6,0.8
10/13/2021,12:05:45,7.7,0.8
10/14/2021,12:05:45,7.6,1
10/15/2021,12:05:45,7.6,1
10/16/2021,12:05:45,7.5,0.8
10/17/2021,12:05:45,7.4,0.8
10/18/2021,12:05:45,7.3,0.8
10/19/2021,12:05:45,7.4,0.8
10/20/2021,12:05:45,7.4,1
10/21/2021,12:05:45,7.5,0.8
10/22/2021,12:05:45,7.6,1
10/23/2021,12:05:45,7.6,1.2
10/24/2021,12:05:45,7.7,1.2
10/25/2021,12:05:45,7.6,1
10/26/2021,12:05:45,7.5,1
10/27/2021,12:05:45,7.4,0.8
10/28/2021,12:05:45,7.3,0.8
10/29/2021,12:05:45,7.4,1
10/30/2021,12:05:45,7.5,1
10/31/2021,12:05:45,7.5,0.8
11/1/2021,12:05:45,7.6,0.8
11/2/2021,12:05:45,7.7,0.8
11/3/2021,12:05:45,7.6,0.8
11/4/2021,12:05:45,7.6,1
11/5/2021,12:05:45,7.5,0.8
11/6/2021,12:05:45,7.4,1
11/7/2021,12:05:45,7.3,1.2
11/8/2021,12:05:45,7.4,1.2
11/9/2021,12:05:45,7.4,1
11/10/2021,12:05:45,7.5,1
11/11/2021,12:05:45,7.6,0.8
11/12/2021,12:05:45,7.6,0.8
11/13/2021,12:05:45,7.7,1
11/14/2021,12:05:45,7.6,1
11/15/2021,12:05:45,7.5,0.8
11/16/2021,12:05:45,7.4,0.8
11/17/2021,12:05:45,7.3,0.8
11/18/2021,12:05:45,7.4,0.8
11/19/2021,12:05:45,7.5,1
11/20/2021,12:05:45,7.5,0.8
11/21/2021,12:05:45,7.6,1
11/22/2021,12:05:45,7.7,1.2
11/23/2021,12:05:45,7.6,1.2
11/24/2021,12:05:45,7.6,1
11/25/2021,12:05:45,7.5,1
11/26/2021,12:05:45,7.4,0.8
11/27/2021,12:05:45,7.3,0.8
11/28/2021,12:05:45,7.4,1
11/29/2021,12:05:45,7.4,1
11/30/2021,12:05:45,7.5,0.8
12/1/2021,12:05:45,7.6,0.8
12/2/2021,12:05:45,7.6,0.8
12/3/2021,12:05:45,7.7,0.8
12/4/2021,12:05:45,7.6,1
12/5/2021,12:05:45,7.5,0.8
12/6/2021,12:05:45,7.4,1
12/7/2021,12:05:45,7.3,1.2
12/8/2021,12:05:45,7.4,1.2
12/9/2021,12:05:45,7.5,1
12/10/2021,12:05:45,7.5,1
12/11/2021,12:05:45,7.6,0.8
12/12/2021,12:05:45,7.7,0.8
12/13/2021,12:05:45,7.6,1
12/14/2021,12:05:45,7.6,1
12/15/2021,12:05:45,7.5,0.8
12/16/2021,12:05:45,7.4,0.8
12/17/2021,12:05:45,7.3,0.8
12/18/2021,12:05:45,7.4,0.8
12/19/2021,12:05:45,7.4,1
12/20/2021,12:05:45,7.5,0.8
12/21/2021,12:05:45,7.6,1
12/22/2021,12:05:45,7.6,1.2
12/23/2021,12:05:45,7.7,1.2
12/24/2021,12:05:45,7.6,1
12/25/2021,12:05:45,7.5,1
12/26/2021,12:05:45,7.4,0.8
12/27/2021,12:05:45,7.3,0.8
12/28/2021,12:05:45,7.4,1
12/29/2021,12:05:45,7.5,1
12/30/2021,12:05:45,7.5,0.8
12/31/2021,12:05:45,7.6,0.8
1/1/2022,12:05:45,7.7,0.8
1/2/2022,12:05:45,7.6,0.8
1/3/2022,12:05:45,7.6,1
1/4/2022,12:05:45,7.5,0.8
1/5/2022,12:05:45,7.4,1
1/6/2022,12:05:45,7.3,1.2
1/7/2022,12:05:45,7.4,1.2
1/8/2022,12:05:45,7.4,1
1/9/2022,12:05:45,7.5,1
1/10/2022,12:05:45,7.6,0.8
1/11/2022,12:05:45,7.6,0.8
1/12/2022,12:05:45,7.7,1
1/13/2022,12:05:45,7.6,1
1/14/2022,12:05:45,7.5,0.8
1/15/2022,12:05:45,7.4,0.8
1/16/2022,12:05:45,7.3,0.8
1/17/2022,12:05:45,7.4,0.8
1/18/2022,12:05:45,7.5,1
1/19/2022,12:05:45,7.5,0.8
1/20/2022,12:05:45,7.6,1
1/21/2022,12:05:45,7.7,1.2
1/22/2022,12:05:45,7.6,1.2
1/23/2022,12:05:45,7.6,1
1/24/2022,12:05:45,7.5,1
1/25/2022,12:05:45,7.4,0.8
1/26/2022,12:05:45,7.3,0.8
1/27/2022,12:05:45,7.4,1
1/28/2022,12:05:45,7.4,1
